Timestamp,Version,Latency_ms,FPS
01:06:44.222,Supabase,181.81,9.77
01:06:44.316,Supabase,178.6,10.27
01:06:44.413,Supabase,179.42,10.39
01:06:44.507,Supabase,174.44,10.16
01:06:44.605,Supabase,175.75,10.29
01:06:44.710,Supabase,179.12,9.84
01:06:44.803,Supabase,174.15,10.22
01:06:44.907,Supabase,180.23,10.17
01:06:45.009,Supabase,180.17,9.79
01:06:45.123,Supabase,180.63,8.88
01:06:45.237,Supabase,180.65,8.78
01:06:45.347,Supabase,179.91,8.98
01:06:45.460,Supabase,180.8,8.91
01:06:45.569,Supabase,185.1,9.59
01:06:45.676,Supabase,178.1,8.75
01:06:45.785,Supabase,177.27,9.16
01:06:45.904,Supabase,177.33,8.84
01:06:46.025,Supabase,180.5,8.05
01:06:46.135,Supabase,183.05,9.27
01:06:46.228,Supabase,179.74,10.37
01:06:46.322,Supabase,174.26,10.13
01:06:46.425,Supabase,179.72,10.27
01:06:46.556,Supabase,212.78,10.16
01:06:46.618,Supabase,176.93,10.27
01:06:46.717,Supabase,179.49,10.3
01:06:46.815,Supabase,175.15,9.82
01:06:46.913,Supabase,175.46,10.17
01:06:47.017,Supabase,179.69,10.02
01:06:47.116,Supabase,178.05,9.98
01:06:47.214,Supabase,180.93,10.47
01:06:47.315,Supabase,182.93,10.15
01:06:47.406,Supabase,175.09,10.15
01:06:47.511,Supabase,184.56,10.41
01:06:47.603,Supabase,176.8,10.02
01:06:47.701,Supabase,177.41,10.34
01:06:47.798,Supabase,178.22,10.39
01:06:47.896,Supabase,179.74,10.27
01:06:47.994,Supabase,180.07,10.3
01:06:48.123,Supabase,209.62,10.04
01:06:48.189,Supabase,178.77,10.3
01:06:48.283,Supabase,179.51,10.69
01:06:48.385,Supabase,183.01,10.19
01:06:48.482,Supabase,182.06,10.25
01:06:48.577,Supabase,175.67,9.82
01:06:48.683,Supabase,184.96,10.35
01:06:48.778,Supabase,177.1,9.72
01:06:48.894,Supabase,173.91,8.4
01:06:48.990,Supabase,175.8,10.59
01:06:49.093,Supabase,182.38,10.46
01:06:49.198,Supabase,180.06,9.27
01:06:49.311,Supabase,179.79,8.85
01:06:49.411,Supabase,180.18,10.06
01:06:49.509,Supabase,181.79,10.29
01:06:49.611,Supabase,183.82,10.08
01:06:49.709,Supabase,183.29,10.12
01:06:49.803,Supabase,179.78,10.29
01:06:49.900,Supabase,179.18,10.23
01:06:49.998,Supabase,179.57,10.19
01:06:50.100,Supabase,182.61,10.09
01:06:50.192,Supabase,177.67,10.33
01:06:50.400,Supabase,183.32,11.08
01:06:50.598,Supabase,181.69,10.62
01:06:50.795,Supabase,185.24,11.13
01:06:50.885,Supabase,180.05,10.45
01:06:50.984,Supabase,182.27,10.35
01:06:51.201,Supabase,200.67,11.1
01:06:51.463,Supabase,175.04,11.56
01:06:51.561,Supabase,179.44,10.61
01:06:51.660,Supabase,179.68,10.19
01:06:51.757,Supabase,179.03,10.23
01:06:51.851,Supabase,174.78,10.13
01:06:51.956,Supabase,180.87,10.2
01:06:52.051,Supabase,177.33,10.16
01:06:52.153,Supabase,181.5,10.14
01:06:52.253,Supabase,179.38,9.82
01:06:52.353,Supabase,184.0,10.44
01:06:52.468,Supabase,199.07,10.02
01:06:52.552,Supabase,186.22,10.44
01:06:52.644,Supabase,184.75,10.59
01:06:52.734,Supabase,175.28,10.12
01:06:52.837,Supabase,180.91,10.22
01:06:52.937,Supabase,180.72,9.97
01:06:53.031,Supabase,177.45,10.34
01:06:53.134,Supabase,184.97,10.4
01:06:53.227,Supabase,179.77,10.26
01:06:53.328,Supabase,181.22,10.05
01:06:53.433,Supabase,184.96,9.83
01:06:53.525,Supabase,181.28,10.46
01:06:53.618,Supabase,177.68,10.36
01:06:53.715,Supabase,177.84,10.34
01:06:53.816,Supabase,181.77,10.26
01:06:53.915,Supabase,178.14,9.71
01:06:54.023,Supabase,181.85,9.6
01:06:54.148,Supabase,205.6,9.91
01:06:54.224,Supabase,184.54,10.28
01:06:54.312,Supabase,179.02,10.7
01:06:54.410,Supabase,178.77,10.17
01:06:54.705,Supabase,181.71,11.49
01:06:54.816,Supabase,199.92,10.83
01:06:54.912,Supabase,200.27,10.38
