Timestamp,Version,Latency_ms,FPS
01:27:13.623,MariaDB_Local,165.65,5.64
01:27:13.779,MariaDB_Local,146.77,6.4
01:27:24.327,MariaDB_Local,145.56,6.75
01:27:24.482,MariaDB_Local,145.27,6.47
01:27:24.637,MariaDB_Local,144.33,6.44
01:27:24.950,MariaDB_Local,146.81,6.7
01:27:25.105,MariaDB_Local,145.71,6.46
01:27:25.266,MariaDB_Local,146.43,6.4
01:27:25.425,MariaDB_Local,148.47,6.26
01:27:25.578,MariaDB_Local,146.6,6.36
01:27:25.736,MariaDB_Local,145.9,6.32
01:27:25.891,MariaDB_Local,145.78,6.45
01:27:26.056,MariaDB_Local,154.24,6.07
01:27:26.214,MariaDB_Local,148.76,6.33
01:27:26.371,MariaDB_Local,147.66,6.38
01:27:26.525,MariaDB_Local,145.63,6.46
01:27:26.688,MariaDB_Local,148.8,6.32
01:27:26.847,MariaDB_Local,152.28,6.13
01:27:27.008,MariaDB_Local,152.03,6.21
01:27:27.164,MariaDB_Local,145.23,6.39
01:27:27.326,MariaDB_Local,146.7,6.37
01:27:27.490,MariaDB_Local,149.75,6.11
01:27:27.645,MariaDB_Local,149.45,6.24
01:27:27.799,MariaDB_Local,144.95,6.49
01:27:27.953,MariaDB_Local,144.29,6.5
01:27:28.115,MariaDB_Local,147.88,6.36
01:27:28.278,MariaDB_Local,152.32,6.13
01:27:28.437,MariaDB_Local,148.03,6.29
01:27:28.592,MariaDB_Local,148.3,6.28
01:27:28.747,MariaDB_Local,146.67,6.42
01:27:28.905,MariaDB_Local,147.32,6.38
01:27:29.067,MariaDB_Local,146.62,6.33
01:27:29.231,MariaDB_Local,153.01,6.08
01:27:29.385,MariaDB_Local,147.07,6.32
01:27:29.540,MariaDB_Local,146.39,6.43
01:27:29.695,MariaDB_Local,145.17,6.48
01:27:29.851,MariaDB_Local,147.06,6.39
01:27:30.015,MariaDB_Local,146.82,6.29
01:27:30.169,MariaDB_Local,148.23,6.29
01:27:30.330,MariaDB_Local,146.38,6.43
01:27:30.485,MariaDB_Local,148.62,6.24
01:27:30.645,MariaDB_Local,146.67,6.42
01:27:30.814,MariaDB_Local,158.14,5.93
01:27:30.973,MariaDB_Local,148.68,6.27
01:27:31.135,MariaDB_Local,149.64,6.18
01:27:31.296,MariaDB_Local,148.64,6.05
01:27:31.462,MariaDB_Local,152.45,6.19
01:27:31.627,MariaDB_Local,153.72,6.06
01:27:31.781,MariaDB_Local,147.51,6.31
01:27:31.938,MariaDB_Local,142.26,6.57
01:27:32.093,MariaDB_Local,146.31,6.24
01:27:32.253,MariaDB_Local,147.92,6.26
01:27:32.413,MariaDB_Local,151.28,6.23
01:27:32.892,MariaDB_Local,145.73,6.75
01:27:36.444,MariaDB_Local,144.74,6.78
01:27:36.599,MariaDB_Local,145.56,6.46
01:27:37.074,MariaDB_Local,153.04,6.43
01:27:46.349,MariaDB_Local,144.91,6.78
01:27:50.203,MariaDB_Local,147.07,6.69
01:27:50.358,MariaDB_Local,145.62,6.46
01:27:50.515,MariaDB_Local,145.31,6.39
01:27:50.671,MariaDB_Local,146.91,6.41
01:27:50.829,MariaDB_Local,147.14,6.3
01:27:50.983,MariaDB_Local,143.92,6.53
01:27:51.136,MariaDB_Local,143.38,6.5
01:27:51.299,MariaDB_Local,145.81,6.37
01:27:51.453,MariaDB_Local,147.57,6.27
01:27:51.607,MariaDB_Local,145.23,6.47
01:27:51.762,MariaDB_Local,145.48,6.46
01:27:52.236,MariaDB_Local,146.98,6.69
01:27:52.860,MariaDB_Local,145.69,6.75
01:27:53.022,MariaDB_Local,151.67,6.17
01:27:53.179,MariaDB_Local,147.03,6.4
01:27:53.339,MariaDB_Local,151.33,6.23
01:27:53.494,MariaDB_Local,145.64,6.45
01:27:53.654,MariaDB_Local,150.7,6.25
01:27:53.814,MariaDB_Local,150.43,6.26
01:27:53.984,MariaDB_Local,158.31,5.96
01:27:54.149,MariaDB_Local,152.35,5.94
01:27:54.305,MariaDB_Local,146.6,6.41
01:27:54.467,MariaDB_Local,149.67,6.21
01:27:54.631,MariaDB_Local,150.15,6.27
01:27:54.791,MariaDB_Local,152.1,6.06
01:27:54.953,MariaDB_Local,146.74,6.33
01:27:55.111,MariaDB_Local,150.99,6.18
01:27:55.269,MariaDB_Local,147.11,6.34
01:27:55.427,MariaDB_Local,144.79,6.5
01:27:55.583,MariaDB_Local,149.66,6.23
01:27:55.743,MariaDB_Local,150.66,6.26
01:27:55.899,MariaDB_Local,146.76,6.41
01:27:56.056,MariaDB_Local,146.07,6.36
01:27:56.216,MariaDB_Local,150.66,6.25
01:27:56.379,MariaDB_Local,152.84,6.13
01:27:56.537,MariaDB_Local,148.78,6.33
01:27:56.696,MariaDB_Local,149.13,6.32
01:27:56.853,MariaDB_Local,148.37,6.34
01:27:57.010,MariaDB_Local,147.27,6.39
01:27:57.173,MariaDB_Local,153.75,6.12
01:27:57.339,MariaDB_Local,150.53,6.19
01:27:57.501,MariaDB_Local,155.02,6.03
01:27:57.661,MariaDB_Local,151.08,6.24
